"ADIPOR2"	"AEBP2"	"ALG10"	"ARNTL2"	"ATN1"	"C12orf4"	"CCDC77"	"CD9"	"CDCA3"	"COPS7A"	"DERA"	"DNM1L"	"EMG1"	"ERC1"	"ERGIC2"	"FKBP4"	"FOXJ2"	"GAPDH"	"ITFG2"	"KDM5A"	"LPCAT3"	"M6PR"	"MLF2"	"MRPL51"	"MRPS35"	"NCAPD2"	"NECAP1"	"PARP11"	"PEX5"	"PLEKHA5"	"PLEKHG6"	"RAD51AP1"	"RAD52"	"STRAP"	"TULP3"	"USP5"	"WBP11"	"ZNF384"
"TCGA.22.1012.01A.01R.0692.07"	3824.1514	1336.1157	64.552	1045.0751	3476.3495	825.8208	461.3244	51597.6628	1296.483	3052.8659	2081.2465	4309.4046	1891.8587	1772.3984	1377.852	6260.4341	751.8086	276628.8258	406.7891	1757.9299	2089.0373	4198.1358	10065.1085	3146.9115	4617.6962	6398.4418	943.2387	200.8904	2567.0562	777.4068	1156.9282	1091.8197	143.0161	5359.488	2580.9683	4524.207	4345.0195	1479.6884
"TCGA.22.1016.01A.01R.0692.07"	2829.7014	458.8378	86.7635	116.6263	6356.3358	632.3648	132.3648	9410.0081	272.6554	1953.5916	414.8507	1017.3527	583.6764	1738.0952	546.4084	4783.6965	1201.7756	70373.2849	415.2542	1183.2123	2141.6465	4637.5827	4490.7183	1612.5908	697.7401	3447.9419	1056.0936	395.0767	1531.0734	416.4649	655.7708	511.703	129.1364	1672.3164	898.3051	2720.7425	1455.2058	2024.6166
"TCGA.22.1017.01A.01R.0692.07"	1971.2771	708.241	143.0361	67.8554	4681.6386	451.0843	146.506	5960.8675	396.0636	1417.6386	907.9518	985.8313	961.1219	941.1084	1450.4096	4525.494	668.1446	91085.494	241.7349	1639.3253	1699.0843	2634.3942	5508.241	1928.8675	2321.3494	1849.0602	1081.8313	87.1325	1309.3012	767.2289	210.506	248.6747	76.7229	2179.0843	937.6386	2612.0482	2382.6506	1283.4699
"TCGA.22.4591.01A.01R.1201.07"	4053.6481	904.3532	545.9841	734.2121	3489.8835	587.9828	158.4917	20091.6616	539.3041	3139.485	1576.9467	1604.8437	1020.8461	1319.1294	1115.8798	4530.3495	967.5046	183870.9381	309.626	1661.5573	1272.5322	3713.3967	5376.4562	2362.9675	2137.6456	5038.9332	959.534	720.4169	1386.5727	1821.8884	332.0049	930.1042	231.7597	4293.9914	835.9902	3445.1257	3343.0411	1368.4856
"TCGA.22.4593.01A.21R.1820.07"	3492.1438	1076.1651	133.9547	434.6205	5752.8628	401.3316	150.466	14075.8988	442.1358	1946.4714	540.0799	2094.8069	741.6458	2627.4301	712.1172	3344.0746	860.9854	127152.0639	454.5939	2080.1598	1542.2104	3158.4075	5481.225	1928.0959	1201.8642	8741.4115	566.1784	229.8269	3105.992	1106.5246	84.4208	393.0759	88.9481	2279.6272	809.3209	3643.9414	3042.0772	1291.0786
"TCGA.22.4594.01A.01R.1201.07"	1451.2462	661.5654	139.484	85.7018	2636.6419	778.7495	273.2838	18526.4539	200.9226	1953.6511	1706.6025	1406.6463	1290.7739	480.9794	1376.913	1048.0979	420.6384	57368.1679	378.2247	1123.7429	1017.0529	3580.892	4373.415	1662.8771	2445.5619	1746.8299	1611.7184	214.2545	1133.3625	711.4123	170.0918	414.0796	124.1801	3713.5986	658.0673	1962.8334	1912.5492	965.0197
"TCGA.22.4595.01A.01R.1201.07"	3562.8984	1041.5968	308.6213	1040.5904	4399.1949	774.5723	334.4515	10946.6622	857.3264	2903.0527	1758.4703	1927.8766	1144.2301	2294.8675	1194.2301	6063.4015	1642.7373	112968.8024	509.896	2515.2633	2599.4633	6528.6984	6373.3646	2693.7269	1527.6753	6309.9631	1135.8604	193.5592	1113.0493	1005.3673	1155.9879	748.742	162.0966	4792.0161	1271.3854	4402.214	3655.1493	1897.6853
"TCGA.22.4596.01A.01R.1201.07"	1221.3931	517.8535	111.1532	177.5005	2927.0352	436.4272	105.1217	4854.9838	120.8942	1331.6847	698.3698	1247.2427	417.04	803.4914	719.4803	2766.3369	703.9705	53278.1588	258.9267	976.2528	1168.8323	3600.8263	3363.0316	1085.2519	1270.9382	1288.1712	843.9891	201.196	747.0531	321.8274	144.7577	140.4494	77.1179	2055.904	612.6353	1634.1249	1768.5428	965.0514
"TCGA.22.4599.01A.01R.1443.07"	5969.6672	1789.1698	401.4385	1444.2557	5073.3519	824.7946	468.3449	30435.4973	1028.4093	4539.2542	2119.0877	3018.8636	1551.0291	975.9108	1426.9523	9203.0927	628.6896	315257.258	455.6558	2322.114	3769.8304	6923.6258	6735.6303	3517.201	2690.0993	8758.9725	1513.4692	455.6558	2061.4097	1576.915	579.0866	955.1467	219.1762	5790.8655	1326.5927	5572.8429	4648.8423	2039.4921
"TCGA.22.4601.01A.01R.1443.07"	6386.1386	1608.5301	168.3168	367.0982	6382.3305	295.5065	426.5042	15748.6672	257.4181	2277.9893	941.3557	1636.7098	705.2551	2632.9018	804.265	21129.4745	1504.9505	91827.1135	1030.4646	3514.8515	1331.3024	3563.8538	5006.8545	1597.8675	1134.8058	2829.3983	841.5842	206.3976	1830.9216	1430.3123	1099.0099	278.751	413.0617	2853.0084	2051.0282	3520.1828	2136.329	1581.8736
"TCGA.22.4604.01A.01R.1201.07"	3098.1595	962.2699	122.0859	593.2515	3625.1534	486.5031	229.4479	21725.4601	263.3098	1534.9693	925.7669	2118.4049	651.7853	1430.6748	911.0429	5336.1963	706.7485	98748.1595	385.2761	1701.5337	1365.3374	5274.8006	4020.2454	1446.9325	1738.3436	2578.8344	614.1104	366.5644	1557.6687	723.3129	372.6994	476.9939	120.5521	4373.9264	990.4908	2261.3497	2613.1902	1288.0368
